证券代码,证券简称,日期,收盘价,成交量,成交金额
399933.SZ,800医卫,20260613,7139.3874,,
000300.SH,沪深300,20260612,4777.3206,3.35922063E10,8.71477325201E11
399933.SZ,800医卫,20260612,7139.3874,1.5639622E9,4.59443940624E10
000300.SH,沪深300,20260611,4722.4122,2.47177059E10,6.53931756259E11
399933.SZ,800医卫,20260611,6996.2688,1.0319067E9,2.97988534968E10
000300.SH,沪深300,20260610,4748.5932,2.59297109E10,6.94628416057E11
399933.SZ,800医卫,20260610,7013.7594,1.0343693E9,3.17830583449E10
000300.SH,沪深300,20260609,4801.8106,2.58391601E10,7.13286998821E11
399933.SZ,800医卫,20260609,6943.6048,9.530263E8,3.25058171143E10
000300.SH,沪深300,20260608,4713.6358,2.99647565E10,7.61046395166E11
399933.SZ,800医卫,20260608,6957.1341,1.0824962E9,3.31762347941E10
000300.SH,沪深300,20260607,4816.9199,,
399933.SZ,800医卫,20260607,7093.8862,,
000300.SH,沪深300,20260606,4816.9199,,
399933.SZ,800医卫,20260606,7093.8862,,
000300.SH,沪深300,20260605,4816.9199,3.01929336E10,8.39863796396E11
399933.SZ,800医卫,20260605,7093.8862,1.0298904E9,3.44529659E10
000300.SH,沪深300,20260604,4904.7454,2.6480891E10,7.36143410003E11
399933.SZ,800医卫,20260604,7068.8239,1.0339799E9,2.97687152094E10
000300.SH,沪深300,20260603,4938.8091,3.04035947E10,9.06047729419E11
399933.SZ,800医卫,20260603,7164.509,1.0732819E9,3.36141545333E10
000300.SH,沪深300,20260602,4914.5591,2.81731662E10,8.06751344395E11
399933.SZ,800医卫,20260602,7281.573,9.9622E8,3.48253492377E10
000300.SH,沪深300,20260601,4844.2556,2.96134051E10,8.23984849E11
399933.SZ,800医卫,20260601,7362.284,1.222624E9,4.43611547756E10
000300.SH,沪深300,20260531,4892.1213,,
399933.SZ,800医卫,20260531,7426.6766,,
000300.SH,沪深300,20260530,4892.1213,,
399933.SZ,800医卫,20260530,7426.6766,,
000300.SH,沪深300,20260529,4892.1213,3.3251861E10,9.42236490058E11
399933.SZ,800医卫,20260529,7426.6766,1.4604154E9,4.93220128845E10
000300.SH,沪深300,20260528,4914.2133,2.67432731E10,8.19897918903E11
399933.SZ,800医卫,20260528,7323.3172,1.1984617E9,3.68633336886E10
000300.SH,沪深300,20260527,4908.1714,3.01709175E10,9.0901190695E11
399933.SZ,800医卫,20260527,7465.7704,1.2003237E9,4.08919300647E10
000300.SH,沪深300,20260526,4947.8493,3.02799476E10,8.99094487857E11
399933.SZ,800医卫,20260526,7484.5669,1.163977E9,3.76092387334E10
000300.SH,沪深300,20260525,4921.5974,2.64743236E10,8.611794219E11
399933.SZ,800医卫,20260525,7486.8247,1.1373096E9,3.76548645671E10
000300.SH,沪深300,20260524,4845.0956,,
399933.SZ,800医卫,20260524,7528.8386,,
000300.SH,沪深300,20260523,4845.0956,,
399933.SZ,800医卫,20260523,7528.8386,,
000300.SH,沪深300,20260522,4845.0956,2.86940435E10,7.71823300851E11
399933.SZ,800医卫,20260522,7528.8386,1.1777494E9,4.07155281115E10
000300.SH,沪深300,20260521,4783.0976,2.87342507E10,8.9193634797E11
399933.SZ,800医卫,20260521,7617.9071,1.508166E9,5.37385149969E10
000300.SH,沪深300,20260520,4850.7,2.20023206E10,7.29653332839E11
399933.SZ,800医卫,20260520,7577.3516,1.2581607E9,3.56448578566E10
000300.SH,沪深300,20260519,4852.8832,2.32280852E10,7.12401049985E11
399933.SZ,800医卫,20260519,7629.9419,1.3057524E9,3.4429030997E10
000300.SH,沪深300,20260518,4833.5237,2.39077587E10,7.33452822624E11
399933.SZ,800医卫,20260518,7608.2927,1.2448178E9,3.78543837039E10
000300.SH,沪深300,20260517,4859.5927,,
399933.SZ,800医卫,20260517,7763.0763,,
000300.SH,沪深300,20260516,4859.5927,,
399933.SZ,800医卫,20260516,7763.0763,,
000300.SH,沪深300,20260515,4859.5927,2.76967769E10,8.87687426985E11
399933.SZ,800医卫,20260515,7763.0763,1.3653005E9,4.01925354049E10
000300.SH,沪深300,20260514,4914.5971,2.80695379E10,8.57446326248E11
399933.SZ,800医卫,20260514,7823.3499,1.5079916E9,4.74741123874E10
000300.SH,沪深300,20260513,4998.3417,2.68454537E10,8.23173197929E11
399933.SZ,800医卫,20260513,8005.3281,1.4582821E9,4.81448650396E10
000300.SH,沪深300,20260512,4948.0465,2.73812001E10,8.19351442664E11
399933.SZ,800医卫,20260512,8073.9195,1.8379227E9,6.1981368586E10
000300.SH,沪深300,20260511,4951.8366,3.05734801E10,9.04479321902E11
399933.SZ,800医卫,20260511,8088.0006,2.1461275E9,6.01508184269E10
000300.SH,沪深300,20260510,4871.9122,,
399933.SZ,800医卫,20260510,7958.9012,,
000300.SH,沪深300,20260509,4871.9122,,
399933.SZ,800医卫,20260509,7958.9012,,
000300.SH,沪深300,20260508,4871.9122,2.51720996E10,7.16546104146E11
399933.SZ,800医卫,20260508,7958.9012,1.4097922E9,4.10107152253E10
000300.SH,沪深300,20260507,4900.5098,2.57833972E10,7.87236200023E11
399933.SZ,800医卫,20260507,8036.5551,1.5987493E9,4.42369935095E10
000300.SH,沪深300,20260506,4877.0932,2.7444388E10,8.81744311635E11
399933.SZ,800医卫,20260506,8008.6803,1.3551676E9,4.72868309822E10
000300.SH,沪深300,20260505,4807.3069,,
399933.SZ,800医卫,20260505,8015.9304,,
000300.SH,沪深300,20260504,4807.3069,,
399933.SZ,800医卫,20260504,8015.9304,,
000300.SH,沪深300,20260503,4807.3069,,
399933.SZ,800医卫,20260503,8015.9304,,
000300.SH,沪深300,20260502,4807.3069,,
399933.SZ,800医卫,20260502,8015.9304,,
000300.SH,沪深300,20260501,4807.3069,,
399933.SZ,800医卫,20260501,8015.9304,,
000300.SH,沪深300,20260430,4807.3069,2.5063337E10,7.26665374516E11
399933.SZ,800医卫,20260430,8015.9304,1.4813703E9,4.33262901574E10
000300.SH,沪深300,20260429,4810.3468,2.3329811E10,6.81020507301E11
399933.SZ,800医卫,20260429,8062.8484,1.2084584E9,4.8098965343E10
