证券代码,证券简称,日期,成交量,成交额,收盘价,换手率
300347.SZ,泰格医药,20260702,2.3118107E7,1.07816532484E9,45.334794583429,4.0828753021195
688293.SH,奥浦迈,20260702,2428836.0,1.06919523E8,42.910877598152,2.1339243663297
300759.SZ,康龙化成,20260702,6.918155E7,2.03430090614E9,28.920974025974,4.8718305109351
002821.SZ,凯莱英,20260702,1.9579101E7,3.06524443438E9,153.19,6.1755181518136
603259.SH,药明康德,20260702,8.4469887E7,1.0463369502E10,120.90503734917,3.4152978473269
300347.SZ,泰格医药,20260701,3.304035E7,1.55438388572E9,47.349231122332,5.8352368119235
688293.SH,奥浦迈,20260701,3258791.0,1.40466105E8,44.483579676674,2.8631054215583
300759.SZ,康龙化成,20260701,9.4410269E7,2.73361202481E9,29.77538961039,6.6484608838598
002821.SZ,凯莱英,20260701,2.186222E7,3.47963361475E9,164.8,6.8956453337128
603259.SH,药明康德,20260701,1.1247678E8,1.3555146904E10,124.79233863245,4.5476763169846
300347.SZ,泰格医药,20260630,2.7839634E7,1.33146886608E9,47.867798944228,4.9167414130684
688293.SH,奥浦迈,20260630,2054862.0,8.6370546E7,41.497436489607,1.8053586537934
300759.SZ,康龙化成,20260630,7.3261904E7,2.11016284966E9,28.742142857143,5.159172918161
002821.SZ,凯莱英,20260630,1.8550007E7,3.04165899697E9,162.0,5.8509277287434
603259.SH,药明康德,20260630,7.937593E7,9.910470507E9,124.10458532848,3.2093382918646
300347.SZ,泰格医药,20260629,4.0058535E7,1.89562977407E9,49.02460408538,7.0715462548662
688293.SH,奥浦迈,20260629,3201918.0,1.30100528E8,41.407852193995,2.8131379966328
300759.SZ,康龙化成,20260629,1.16834932E8,3.32351748947E9,28.612987012987,8.2276269678929
002821.SZ,凯莱英,20260629,1.0601205E7,1.70007226083E9,167.75,3.3437660855111
603259.SH,药明康德,20260629,1.03053482E8,1.2743790053E10,125.75918023367,4.166672263148
300347.SZ,泰格医药,20260628,,,44.92592380078,
688293.SH,奥浦迈,20260628,,,37.476096997691,
300759.SZ,康龙化成,20260628,,,26.149090909091,
002821.SZ,凯莱英,20260628,,,152.5,
603259.SH,药明康德,20260628,,,117.79519632254,
300347.SZ,泰格医药,20260627,,,44.92592380078,
688293.SH,奥浦迈,20260627,,,37.476096997691,
300759.SZ,康龙化成,20260627,,,26.149090909091,
002821.SZ,凯莱英,20260627,,,152.5,
603259.SH,药明康德,20260627,,,117.79519632254,
300347.SZ,泰格医药,20260626,2.7751305E7,1.24184599263E9,44.92592380078,4.8989469270506
